match_Id,game_duration,start_timestamp,champ_name,dam_to_buildings,kills,assists,deaths,kda,win,gold_earned,total_heal,total_dam_taken,total_dam_dealt,total_minions_killed,vision_score
NA1_5120512082,2140,1727297065074,DrMundo,4556,11,15,1,26,1,13167,17895,69517,138578,149,9
NA1_5120537188,911,1727299526013,Yorick,1057,1,0,1,1,0,4598,836,4224,53520,96,7
NA1_5120544565,2651,1727301052325,DrMundo,344,9,19,4,7,1,14656,18681,85982,172818,188,14
NA1_5120571713,940,1727304198760,DrMundo,1466,1,1,4,0.5,0,4682,2546,11309,42634,85,7
NA1_5121114365,2028,1727373004004,Mordekaiser,2720,10,2,1,12,0,12191,6958,22692,122285,152,12
NA1_5121133642,913,1727376293381,Mordekaiser,102,2,0,0,2,1,4231,1730,8154,47137,72,4
NA1_5121148472,145,1727377720614,DrMundo,0,0,0,0,0,0,594,172,66,848,1,0
NA1_5121311598,138,1727395404831,Mordekaiser,0,0,0,0,0,1,622,0,377,844,3,0
NA1_5121327952,1732,1727395905018,Mordekaiser,0,6,5,4,2.75,0,8418,5501,22307,87124,98,6
NA1_5121353161,2227,1727398237883,Aatrox,400,6,6,6,2,0,10753,10598,35938,82626,117,9
NA1_5121392935,2346,1727400866404,Aatrox,2850,5,11,7,2.28571,0,12090,13079,38833,119748,126,10
NA1_5121433941,1997,1727403615054,Mordekaiser,3560,15,5,4,5,0,13803,10452,29507,115705,116,6
NA1_5121467475,104,1727406239068,Mordekaiser,0,0,0,0,0,0,500,0,0,0,0,0
NA1_5124401015,1839,1727756584641,DrMundo,7613,1,12,3,4.33333,1,9872,10964,32826,100147,156,12
NA1_5124427148,1043,1727758872764,Aatrox,2511,5,1,0,6,1,5051,3407,10555,51836,65,8
NA1_5124443099,912,1727760303792,Mordekaiser,3431,6,1,1,7,1,6499,1777,6639,54478,71,5
NA1_5124458182,2850,1727761840139,Yorick,5135,2,9,9,1.22222,0,16023,12815,57525,234674,251,13
NA1_5124670550,1459,1727809051686,DrMundo,1585,2,4,0,6,0,8358,3627,16948,80564,153,11
NA1_5124691813,1446,1727811120279,Mordekaiser,407,3,3,4,1.5,0,7923,4389,21518,82717,132,10
NA1_5124702267,2425,1727813114800,Aatrox,3940,3,5,4,2,1,12547,5573,23622,115403,154,10
NA1_5124910007,2045,1727832784421,Mordekaiser,2076,8,0,3,2.66667,0,12099,6422,24103,106874,163,8
NA1_5124944171,1533,1727835176309,Yorick,7958,2,5,0,7,1,10832,4789,10606,124013,185,12
NA1_5124971955,313,1727837041840,DrMundo,0,0,0,0,0,1,1568,821,777,12699,29,2
NA1_5124975643,2020,1727837564760,Mordekaiser,4119,9,8,1,17,1,12214,8939,20917,127407,151,10
NA1_5125015081,2235,1727840021217,DrMundo,2373,8,12,3,6.66667,1,12065,12391,43460,115131,137,20
